name,Condition,Mito,Animal,b_vol,b_sa,nr_ves_b,nr_ves_in,msb,mito_vol,tpsd,mean_ves_vol,final_med_mean_dis,final_dis_AZ,disp_cm,dis_ves_cm_f,dis_cm_az,final_chull_ax,final_chull_mvv_ax,med_ass_ves_vol_final_im,med_ass_ves_vol_im,ra_ass_ves_vol_final_ax,,,,,,,,,,,,,,ske_ass_im,ra_ass_ves_vol,ra_ass_ves_vol_final,ra_ske_ass_im,pval_ra_vav,med_ass_ves_vol_final_ax,ske_ass_ax,ra_ass_ves_vol_ax,ra_ass_ves_vol_final_ax,ra_ske_ass_ax,pval_ra_vav_ax,dis_ves_ol_ra_f,p_val_dis_ol,med_ass_vol_del_ev_f,,,dis_chull_az,dis_chull_az_f,,dis_ves_cm,dis_ves_cm_f,dis_ves_ol,dis_ves_ol_f,final_med_mean_dis_ra,rat,pval_mdnv_ra,dol_dcm,dis_m_cm,med_dis_m,med_dis_m_f,den,chull_del_ves_f
d01c18ax12,Control,Yes,JB023,0.290050,3.11875,417,371,y,0.0224579442,0.1182639,0.0237890719903206,0.0287,0.256351342501793,0.287004964455437,0.194213311262435,0.365869850424524,0.14556778377,0.12178451791552,0.000107530801932333,0.000161864838599,0.000232543970809333,,,,,,,,,,,,,,4.29224643503659,0.000287043872254,0.000232709835587333,1.50770177493232,4.67019560117874E-21,0.000107530801932333,4.29224643503659,0.000286878007476,0.000232543970809333,0.612369483705629,6.86040512122658E-19,0.067,0.0874167667389295,0.000138136891678833,,,0.175199872137181,0.151699872137181,,0.217713311262435,0.194213311262435,0.117428457545418,0.070,0.0443460894967738,0.647736937730391,1.411247E-14,0.522666854083424,0.154955054620367,0.220244277311017,0.196744277311017,#REF!,0.142595336185
d01c19ax08,Control,No,JB023,0.125700,1.66675,273,229,n,0,0.086665,0.0135507714314854,0.0270,0.145958808142835,0.209568890471662,0.15971810394018,0.135792759965492,0.064109095024,0.0505561643452687,0.000101015445954667,0.000148071167768,0.000139651731484667,,,,,,,,,,,,,,1.69812508918817,0.000188287093034,0.000141231371220667,0.373861096294428,0.00021876069279699,0.000101015445954667,1.69812508918817,0.000186707453298,0.000139651731484667,0.354622381274957,0.00168562160209082,0.042,0.422468730726093,0.000154019613207667,,,0.17771380206924,0.15531380206924,,0.18211810394018,0.15971810394018,0.0873866139365679,0.043,0.0371572770208812,0.727951038057334,2.44382118542668E-05,0.488265700309684,0,0,0,#REF!,0.0610195204584
d01c20ax14,Control,Yes,JB023,0.362300,3.696,646,604,y,0.0540968068,0.1959588,0.042218313003794,0.0270,0.25229534278211,0.293152658246361,0.219161659453156,0.257745724112432,0.19548970861,0.153278430544291,0.000111785087002333,0.000166119123669,0.000177332062143333,,,,,,,,,,,,,,1.18052814500825,0.000234332801735,0.000179998765068333,0.827539160744426,1.21644780609315E-22,0.000111619102452833,1.16008369671977,0.00023166609881,0.000177332062143333,0.735311905552747,2.57153119417394E-20,0.089,0.00836810061434316,0.000177125780858333,,,0.341286765807124,0.317786765807124,,0.242661659453156,0.219161659453156,0.145251930567691,0.098,0.0366922671244386,0.735014719273917,5.32345962987423E-18,0.575688484559402,0.313130530895517,0.356621935314026,0.333121935314026,#REF!,0.18390010822
d01c21ax15,Control,No,JB023,0.144650,1.602,323,284,n,0,0.060843,0.0160289755198599,0.0234,0.276462541924416,0.191943703621306,0.155034455168087,0.275924369877732,0.0697790638056,0.053743624062894,8.43025543766667E-05,0.00013135827619,0.000111214672544667,,,,,,,,,,,,,,2.00545595706666,0.000158270394358,0.000111214672544667,0.849198037612253,0.00026434572881304,8.43025543766667E-05,2.00545595706666,0.000158270394358,0.000111214672544667,0.849198037612253,0.000528691457626079,0.053,0.0400957932308718,0.000140838429764667,,,0.3268927325609,0.3044927325609,,0.177434455168087,0.155034455168087,0.10221267037911,0.057,0.0303950455350486,0.770342112394409,3.44857062866165E-05,0.586809313360681,0,0,0,#REF!,0.0586445755816
d01c22Bax17,Control,No,JB023,0.085308,1.222,119,92,n,0,0.04258,0.00581104588786221,0.0287,0.16730952977179,0.14785815417723,0.105686083040811,0.177092882392621,0.0305647544072,0.0247619958479487,8.48132468996667E-05,0.000131868968713,0.000166895756997667,,,,,,,,,,,,,,2.14343131419383,0.000213951478811,0.000166895756997667,0.20349447181469,0.00199382899730541,8.48132468996667E-05,2.14343131419383,0.000213951478811,0.000166895756997667,0.20349447181469,0.00398765799461082,0.033,0.249248903050371,0.000140574105702667,,,0.239891396814761,0.217491396814761,,0.128086083040811,0.105686083040811,0.0761429006650432,0.031,0.0416307134987039,0.688231010134588,0.00154743333178858,0.632070916239046,0,0,0,#REF!,0.0257948967136
d01c23ax18,Control,Yes,JB023,0.349350,3.273,533,480,y,0.0179405045,0.228539,0.0313742776323291,0.0255,0.237295640885039,0.257278736503257,0.202629583572972,0.299321850953912,0.200674644985,0.169291533410904,0.000111305899762833,0.0001656399364295,0.000250851583378333,,,,,,,,,,,,,,7.2664916059528,0.000315887710257,0.000261553673590333,0.882814528488268,3.66085342704413E-35,0.000111305899762833,7.2664916059528,0.000305185620045,0.000250851583378333,0.949247261292584,1.21714921738634E-32,0.079,0.423618855682643,0.000134020003590333,,,0.241430843674127,0.217930843674127,,0.226129583572972,0.202629583572972,0.125952274500097,0.079,0.0452150521372056,0.564529967622993,2.38084669902354E-30,0.615362462852438,0.207951218522966,0.258005223287976,0.234505223287976,#REF!,0.1963138013
d01c25Aax19,Control,No,JB023,0.141875,1.66025,262,223,n,0,0.049059,0.0128055163611456,0.0314,0.288596340465051,0.201294572014189,0.157791508864987,0.283912455564657,0.073746762268,0.0609378547109888,0.000134285473875667,0.000181341195689,0.000185276894848167,,,,,,,,,,,,,,2.67071075171268,0.0002323326166615,0.000185276894848167,0.134281083811991,0.000102743148876301,0.000134285473875667,2.67071075171268,0.0002323326166615,0.000185276894848167,0.134281083811991,0.000205486297752601,0.048,0.0313139514068011,0.000178809827449167,,,0.373090949738902,0.350690949738902,,0.180191508864987,0.157791508864987,0.106376005977941,0.062,0.0397975341009815,0.788424674672641,6.08115715217897E-05,0.578390102934995,0,0,0,#REF!,0.06989348184
d01c25Bax20,Control,Yes,JB023,0.411125,4.105,344,296,y,0.0934001841,0.0865953,0.0195653251950171,0.0296,0.25335610185135,0.225438114457694,0.173738673911209,0.289736230128856,0.105479435795,0.0859090137173657,0.000113853709085833,0.0001681877457525,0.000165686590869333,,,,,,,,,,,,,,3.79898946667418,0.000220020627536,0.000165686590869333,1.28571194925544,8.62364780308841E-06,0.000115081531552333,3.7008518831279,0.000220020627536,0.000165686590869333,1.28571194925544,3.17895120632297E-05,0.058,0.111420644020897,0.000189720424839333,,,0.200440070091178,0.176940070091178,,0.197238673911209,0.173738673911209,0.107631878781976,0.061,0.0394289107211007,0.751887386545816,1.41166322975297E-06,0.565952364725083,0.230790149708354,0.259751877276464,0.236251877276464,#REF!,0.10057857933
d01c28Aax21,Control,No,JB023,0.227500,2.3465,482,428,y,0,0.1546804,0.0239405441730069,0.0270,0.258803592488024,0.251400529946074,0.196790365319781,0.281457404086169,0.13112895516,0.107197749534365,0.000109308463365667,0.000156364185179,0.000177425259118167,,,,,,,,,,,,,,2.62390895568526,0.00022605077339,0.000178995051576667,0.782965341668814,1.5605076E-13,0.000109308463365667,2.62390895568526,0.0002244809809315,0.000177425259118167,0.804843167208126,6.0168988E-13,0.066,0.292377100054258,0.000152414897848667,,,0.282105125999405,0.259705125999405,,0.219190365319781,0.196790365319781,0.106248290109081,0.061,0.0380184273940894,0.70902697202798,1.00500802E-12,0.493675314816095,0,0,0,#REF!,0.12767977848
d01c32ax23,Control,Yes,JB023,0.445925,3.84375,1119,1048,y,0.0449065752,0.320537,0.0638355064548341,0.0206,0.257729501164158,0.337911264226475,0.280854830696102,0.30521010716331,0.28264041999,0.218787502388933,8.84677313413333E-05,0.000142801768008,0.000144049165266333,,,,,,,,,,,,,,6.94941898656083,0.000240796734786,0.000186462698119333,0.825969315822281,5.85865090837622E-70,8.63818150783333E-05,2.76039141865309,0.000198383201933,0.000144049165266333,0.757601748409967,1.13927416348633E-34,0.085,8.1296949508802E-07,0.000171264056893333,,,0.204677976277857,0.181177976277857,,0.304354830696102,0.280854830696102,0.150559620048833,0.104,0.0372801169143176,0.551506394683742,2.66081178750284E-59,0.503249104743967,0.206195086186003,0.234214854276714,0.210714854276714,#REF!,0.26006091254
